Lock_ID,File,Function,Line,Pattern,True_Positive,Benchmark_Tool,Base_Throughput,Patched_Throughput,Throughput_Gain,Base_Latency,Patched_Latency,Latency_Gain
s675,pgstat_slru.c,pgstat_slru_snapshot_cb,207,READ_ONLY,Yes,bench_pgstat (16 backends 10 runs),6.62 M snapshots/s,2820.49 M snapshots/s,+42543.70%,4.836 s,0.012 s,+99.76%
s679,pgstat_wal.c,pgstat_wal_snapshot_cb,182,READ_ONLY,Yes,bench_pgstat (16 backends 10 runs),6.62 M snapshots/s,2820.49 M snapshots/s,+42543.70%,4.836 s,0.012 s,+99.76%
